Asset ID,Description,User,Test Instrument,Date,Retest Period,Next Test,Result
3311003,2PR LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3311004,PS LAPTOP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334002,CL IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334003,PS LAPTOP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334008,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334010,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334011,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334012,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334013,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334014,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334015,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334016,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334017,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334018,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334019,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334020,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342943,IEC IEC BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342944,CL IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342945,PS LAPTOP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342946,PS LAPTOP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501431,TWO PAIR IEC,power TAG.,Test & Tag Safety Solutions NM TTT51252 Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501432,POWER SUPPLY MONITOR,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501476,IEC LEAD CL,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501477,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501764,IEC LEAD CL,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501765,POWER SUPPLY LAP TOP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501986,POWER SUPPLY MODEM,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501987,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502055,TWO PAIR LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502056,POWER SUPPLY MONITOR,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502134,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5504472,IEC LEAD CL,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5504473,POWER SUPPLY LAP TOP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601058,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601059,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601061,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601090,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601091,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601095,IEC LEAD TO FEMALE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601096,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601097,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601098,IEC LEAD TO FEMALE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601099,IEC LEAD TO FEMALE,power TAG.,Test & Tag Safety Solutions NM TTT51252 Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,P.,"Tuesday, 3. June 2025"
8601100,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3333964,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502449,PUMP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601066,URN,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3333959,FRYER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3333961,FOOD WARMER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3333962,3M EXT LEAD WHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342939,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342940,IEC IEC BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502446,POWER SUPPLY PHONE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502468,PIE OVEN,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502471,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502486,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502487,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502493,4XPOWERBOARD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502494,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502495,CD PLAYER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502496,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502498,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502499,3/06/2025,power TAG.,Test & Tag Safety Solutions NM TTT51252 Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502513,EXTN LEAD 3M WHITE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5504449,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5504450,POWER SUPPLY WI FI,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5504451,FRIDGE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5504452,POWER SUPPLY ALARM VIZ,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5504457,EXTN LEAD 3M WHITE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3310749,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3310754,STAGE LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3310755,STAGE LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3310756,STAGE LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334021,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334022,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334023,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334024,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334025,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334040,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334041,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334042,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334044,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334045,PATCH LEAD,power TAG.,Test & Tag Safety Solutions NM TTT51252 Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,P.,"Tuesday, 3. June 2025"
3334049,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334050,MONITOR,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334052,LIGHT LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334053,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334054,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334055,LIGHT LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334056,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334057,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334066,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334069,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342929,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342930,SOLDERING IRON,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342931,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342932,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342933,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342934,IEC IEC BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342935,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342936,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342937,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502151,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502191,IEC LEAD CL,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502192,POWER SUPPLY LAP TOP,power TAG.,Test & Tag Safety Solutions NM TTT51252 Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,P.,"Tuesday, 3. June 2025"
5502196,STAGE LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502201,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
