Asset ID,Description,User,Test Instrument,Date,Retest Period,Next Test,Result
5502233,POWER SUPPLY PIANO,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502242,SPEAKER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502255,STAGE LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502261,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502269,STAGE LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502284,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601102,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601103,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601104,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601105,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601106,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601107,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601108,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601109,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601110,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601116,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601117,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601122,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601124,PATCH LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601133,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601134,LIGHT LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601135,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601136,LIGHT LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601137,LIGHT LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601138,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601139,LIGHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601140,LIGHT LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601144,MONITOR,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601153,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502161,BOX,PROJECTOR LIGHT 3PH VIZ,NM TTT51252 Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502163,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502164,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502165,NBN,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502166,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502167,NBN,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502168,2XPOWERBOARD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502169,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502172,AUDIO RACK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502175,SUPPLY LEAD VIZ,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3310761,SPEAKER,power TAG.,Test & Tag Safety Solutions NM TTT51252 Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,P.,"Tuesday, 3. June 2025"
3310762,IRON,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3310770,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3310771,10M EXT LEAD ORG,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3310772,BATTERY CHARGER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342938,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502204,HEATER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502213,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502217,STEAM IRON,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502218,KETTLE BASE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502219,KETTLE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502239,EXTN LEAD 25M ORANGE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502318,DESK LAMP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334072,BLENDER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334073,KETTLE BASE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3334074,KETTLE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342941,VACUUM,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3342942,5M EXT LEAD WHT,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501413,5XPOWERBOARD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503084,FRIDG,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503085,MICROWAVE,power TAG.,Test & Tag Safety Solutions NM TTT51252 Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,Page 9,"Tuesday, 3. June 2025 16:47"
5503086,4XPOWERBOARD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
3310912,COMPUTER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501402,6XPOWERBOARD UPS,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501429,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501481,IEC LEAD BLK,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501482,MONITOR,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501483,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501484,MONITOR,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5501710,COMPUTER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503212,COMMS SERVER HUB,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503213,IEC LEAD CL,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503214,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503215,4XPOWERBOARD SP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503216,IEC LEAD CL,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503249,PIE WARMING OVEN,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503253,ZIP HOT WATER SERVICE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503254,TWO DOOR FRIDGE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503255,AIR CONDITIONER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503256,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503183,POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503184,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503185,PA AMPLIFIER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503186,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503187,PRINTER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503188,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503189,COMPUTER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503190,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503191,COMPUTER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503192,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503193,MONITOR,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503195,SCALES,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503207,SIGN BOARD LIGHTS,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502301,NOTE PAD CHARGER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502325,USB POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502342,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502343,COMPUTER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502344,IEC LEAD,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502345,MONITOR,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502394,USB POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502395,USB POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502396,USB POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502397,USB POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502398,USB POWER SUPPLY,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5503266,EXHAUST FAN OFFICE VIZ,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5504482,SHREDDER,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
8601143,LAMP,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502299,ES COUNTER,BAR FRIDGE,NM TTT51252 Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502302,BAR FRIDGE,NM TTT51252,Seaward PrimeTest Pro 32Q-0883,3/06/2025,12 Months,3/06/2026,Pass
5502303,BAR FRIDGE,Location: TOILETS,8601191 HAND DRYER Total Tests: 240 NM TTT51252 NM TTT51252 Seaward PrimeTest Pro 32Q-0883 Seaward PrimeTest Pro 32Q-0883,3/06/2025,3/06/2025,12 Months,12 Months
